iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,titleLink
ZAF,South Africa,MtCO2e,312.93,326.03,301.33,320.35,338.70,361.69,363.73,385.22,377.26,374.89,378.31,371.62,356.52,404.41,449.31,416.20,446.77,465.04,495.17,480.57,463.00,465.91,458.95,458.63,471.87,446.22,456.97,439.38,435.24,465.43,434.83,425.63,404.05,[object Object]
NGA,Nigeria,MtCO2e,38.86,41.93,46.27,44.81,80.46,84.34,97.89,95.78,86.49,84.99,96.85,100.19,89.92,100.09,94.84,101.47,89.95,81.94,87.27,77.23,111.43,125.43,109.07,116.34,122.98,109.22,116.93,112.76,105.60,127.34,123.82,131.11,128.76,[object Object]
KEN,Kenya,MtCO2e,5.82,4.83,5.54,6.34,6.55,7.55,9.29,8.21,9.96,10.07,10.41,9.28,7.89,6.70,7.59,8.55,9.57,9.82,10.23,12.34,12.16,13.45,12.51,13.46,14.53,17.00,18.13,17.71,18.84,19.80,21.98,24.46,24.85,[object Object]
SDN,Sudan,MtCO2e,4.77,4.47,3.99,2.75,3.83,3.95,4.08,5.01,4.36,4.74,5.28,6.00,7.61,8.49,10.83,10.53,11.51,13.52,14.14,14.76,15.03,14.67,15.21,17.01,17.54,21.19,20.04,20.49,21.75,21.77,20.53,22.19,22.01,[object Object]
GHA,Ghana,MtCO2e,3.51,3.90,3.24,3.82,4.54,4.62,4.86,5.51,5.58,5.61,5.31,5.97,6.48,6.68,6.45,6.11,8.52,8.98,8.32,6.87,8.94,10.34,12.64,12.61,13.25,14.57,13.92,12.44,15.19,16.42,19.17,20.97,20.81,[object Object]
ETH,Ethiopia,MtCO2e,2.99,2.96,2.94,2.99,2.20,2.51,2.79,2.98,3.15,3.09,3.46,4.26,4.43,4.87,5.16,4.96,5.32,5.84,6.42,6.45,6.34,7.40,8.11,9.78,12.02,12.70,14.42,15.58,15.99,16.68,17.81,18.92,19.07,[object Object]
AGO,Angola,MtCO2e,5.09,5.06,5.16,5.75,11.35,12.62,15.25,15.88,16.51,17.26,16.00,15.91,16.08,17.48,17.02,15.39,17.14,17.59,18.75,20.67,22.98,23.40,25.94,25.71,24.77,26.03,23.99,22.62,21.43,19.22,16.76,17.51,16.07,[object Object]
TZA,Tanzania,MtCO2e,2.11,2.26,2.18,2.43,2.06,2.43,2.53,2.82,2.48,2.46,2.57,3.04,3.49,3.69,4.22,5.36,5.88,5.71,5.91,5.77,6.92,7.52,8.79,9.69,9.20,9.72,10.21,11.23,11.84,13.74,14.17,15.42,15.57,[object Object]
CIV,C̫te d'Ivoire,MtCO2e,4.78,4.31,3.84,5.09,4.13,6.23,7.53,7.21,6.76,6.09,6.63,7.65,7.45,5.30,7.39,7.56,6.89,6.65,6.71,5.66,6.22,6.52,8.54,9.68,9.90,9.55,11.98,12.00,10.35,10.54,11.02,11.73,11.73,[object Object]
SEN,Senegal,MtCO2e,3.14,3.38,3.42,3.54,3.84,3.43,3.66,3.18,3.33,3.60,3.90,4.26,4.44,4.93,5.24,5.54,4.42,4.86,4.74,5.26,6.86,7.82,7.36,7.85,8.72,9.85,10.02,10.76,11.33,12.71,10.82,11.54,11.67,[object Object]
CMR,Cameroon,MtCO2e,2.60,2.67,2.71,2.87,4.88,5.37,5.97,5.38,5.37,5.22,5.59,5.56,5.35,5.70,5.70,5.42,5.49,7.41,7.32,8.55,8.38,8.11,7.60,7.85,8.77,9.85,9.96,9.58,9.65,9.59,9.70,10.30,9.57,[object Object]
ZMB,Zambia,MtCO2e,2.41,2.38,2.42,2.47,2.39,2.14,1.84,2.35,2.28,1.78,1.78,1.89,1.96,2.07,2.10,2.24,2.23,2.29,2.55,2.94,3.12,3.37,4.17,4.42,4.88,5.07,5.86,6.85,7.42,7.75,8.14,8.66,8.92,[object Object]
ZWE,Zimbabwe,MtCO2e,15.55,15.50,16.71,16.05,17.39,15.03,14.91,13.91,14.13,15.73,13.82,12.51,11.90,10.61,9.43,10.70,10.37,9.84,7.72,8.25,8.75,10.36,11.25,11.67,11.95,12.26,10.53,9.30,10.71,9.78,7.85,8.40,8.86,[object Object]
BEN,Benin,MtCO2e,0.58,0.62,0.67,0.81,0.91,0.96,1.18,1.22,1.11,1.46,1.47,1.69,2.11,2.39,2.59,2.49,3.35,3.93,3.92,4.22,4.68,4.48,4.40,4.57,4.80,5.33,6.49,6.80,7.43,7.12,7.74,8.31,8.43,[object Object]
MOZ,Mozambique,MtCO2e,1.03,0.94,1.03,1.14,1.10,1.13,1.09,1.17,1.11,1.17,1.32,1.55,1.54,1.86,1.86,1.77,1.92,2.19,2.18,2.44,2.63,3.11,3.05,3.58,8.12,6.73,8.55,6.91,7.01,7.10,6.38,7.19,8.00,[object Object]
BWA,Botswana,MtCO2e,2.70,2.63,2.78,3.19,3.03,3.04,2.76,2.80,3.34,3.16,3.78,3.85,3.98,3.83,3.89,4.09,4.13,4.23,4.50,3.86,4.54,4.03,5.08,5.66,6.85,5.42,6.35,7.08,7.50,6.78,5.55,6.14,7.47,[object Object]
COG,Republic of Congo,MtCO2e,1.01,1.08,1.29,1.16,3.38,3.22,4.04,4.83,3.87,3.92,4.28,4.18,2.72,3.26,3.55,4.35,4.79,4.26,4.27,4.94,5.50,5.05,5.02,5.89,5.47,5.63,5.73,5.65,6.54,7.29,7.39,7.26,7.43,[object Object]
MLI,Mali,MtCO2e,0.42,0.43,0.46,0.50,0.55,0.60,0.65,0.73,0.93,0.97,1.07,1.16,1.21,1.25,1.41,1.45,1.54,1.79,1.96,1.89,2.09,2.28,2.44,2.74,3.14,3.28,4.23,4.66,4.91,5.83,6.42,6.93,7.04,[object Object]
UGA,Uganda,MtCO2e,0.76,0.78,0.80,0.80,0.71,0.93,1.02,1.06,1.21,1.25,1.36,1.42,1.45,1.51,1.61,2.02,2.38,2.71,2.78,3.00,3.57,3.82,3.63,3.75,4.09,4.53,4.80,5.39,5.52,5.73,5.54,6.05,6.02,[object Object]
BFA,Burkina Faso,MtCO2e,0.58,0.63,0.63,0.63,0.64,0.62,0.70,0.80,0.86,0.92,1.03,0.99,1.00,1.07,1.10,1.12,1.36,1.59,1.73,1.83,2.04,2.13,2.62,2.86,2.91,3.71,3.90,4.52,5.01,5.51,5.19,5.88,5.96,[object Object]
GAB,Gabon,MtCO2e,4.48,4.52,4.92,4.97,4.54,5.22,5.89,5.53,6.45,6.01,6.13,6.48,6.25,6.75,6.39,6.22,5.54,5.04,5.38,5.30,5.84,5.83,5.63,5.93,6.37,6.48,6.52,5.88,5.47,5.43,5.93,5.88,5.71,[object Object]
GNQ,Equatorial Guinea,MtCO2e,0.06,0.07,0.07,0.07,1.15,1.23,1.36,1.97,2.30,2.51,2.70,3.09,2.76,3.13,6.14,6.21,6.18,5.72,5.94,4.90,6.40,6.09,6.90,8.20,7.67,7.03,7.56,7.86,6.01,4.64,5.52,5.63,5.08,[object Object]
GIN,Guinea,MtCO2e,1.00,1.03,1.06,1.09,1.12,1.17,1.23,1.29,1.36,1.43,1.49,1.56,1.62,1.70,1.76,1.82,1.89,1.97,2.00,2.11,2.48,2.59,2.42,2.11,2.17,2.45,2.74,3.24,3.16,3.92,4.50,4.87,4.95,[object Object]
MRT,Mauritania,MtCO2e,0.85,0.87,0.91,0.93,0.96,1.01,1.06,1.08,1.07,1.10,1.11,1.17,1.25,1.29,1.39,1.44,1.55,1.76,1.83,2.01,2.09,2.23,2.45,2.17,2.57,3.00,2.63,3.42,3.66,3.77,4.12,4.46,4.53,[object Object]
MDG,Madagascar,MtCO2e,0.94,1.02,1.00,1.03,1.15,1.19,1.25,1.54,1.62,1.76,1.95,1.74,1.24,1.69,1.80,1.74,1.67,1.74,1.78,1.71,1.87,2.37,2.74,3.21,3.16,3.23,3.27,4.12,3.79,4.26,3.96,4.27,4.40,[object Object]
MUS,Mauritius,MtCO2e,1.46,1.52,1.71,1.77,1.62,1.83,1.95,2.00,2.17,2.43,2.69,2.86,2.88,3.06,3.09,3.29,3.63,3.69,3.77,3.71,3.91,3.92,3.96,4.07,4.21,4.21,4.35,4.54,4.46,4.52,3.81,4.09,4.25,[object Object]
NAM,Namibia,MtCO2e,false,1.06,1.15,1.39,1.57,1.62,1.72,1.77,1.82,1.66,1.60,2.01,1.79,1.88,1.97,2.31,2.34,2.26,2.70,2.76,2.84,2.78,3.36,2.57,3.68,3.85,4.05,4.22,4.15,4.11,3.68,3.73,3.95,[object Object]
COD,Democratic Republic of the Congo,MtCO2e,4.25,3.28,2.91,2.66,2.75,3.10,3.47,3.09,2.73,2.20,1.70,1.65,1.73,2.10,2.03,2.29,2.35,2.62,2.69,2.45,2.74,3.04,2.80,3.92,5.07,3.28,2.56,3.10,3.38,3.59,3.71,3.94,3.60,[object Object]
LSO,Lesotho,MtCO2e,1.47,1.53,1.59,1.63,1.67,1.71,1.74,1.77,1.80,1.82,1.85,1.88,1.91,1.93,1.98,2.01,2.04,2.07,2.13,2.22,2.28,3.06,3.09,2.33,2.47,2.24,2.21,2.51,2.37,2.39,2.17,2.48,3.13,[object Object]
NER,Niger,MtCO2e,0.60,0.57,0.52,0.60,0.58,0.56,0.64,0.64,0.70,0.68,0.69,0.65,0.68,0.74,0.79,0.69,0.67,0.71,0.79,0.95,1.16,1.32,1.84,2.08,2.26,2.21,2.15,2.25,1.80,2.51,2.82,3.04,3.06,[object Object]
TGO,Togo,MtCO2e,0.98,1.05,1.03,1.07,1.01,1.17,1.27,0.88,1.29,1.85,1.33,1.16,1.32,1.80,1.74,1.72,1.50,1.52,1.52,2.74,2.60,2.50,2.22,1.64,1.54,1.86,2.31,1.99,2.17,2.42,2.38,2.56,2.58,[object Object]
TCD,Chad,MtCO2e,0.38,0.38,0.41,0.40,0.41,0.43,0.44,0.45,0.46,0.48,0.49,0.51,0.53,0.88,0.90,0.93,0.96,1.09,0.87,1.22,1.24,1.27,1.74,2.08,2.18,2.35,2.37,2.34,2.38,2.30,2.28,2.47,2.37,[object Object]
MWI,Malawi,MtCO2e,0.74,0.79,0.79,0.88,0.90,0.91,0.92,0.91,0.90,0.89,0.86,0.77,0.86,0.92,0.90,0.85,0.85,0.92,1.00,1.01,0.97,1.06,1.07,1.15,1.04,1.08,1.21,1.23,1.72,1.64,1.87,2.08,2.09,[object Object]
SSD,South Sudan,MtCO2e,0.43,0.41,0.36,0.25,0.34,0.36,0.37,0.45,0.39,0.42,0.46,0.53,0.67,0.75,0.95,0.91,1.00,1.17,1.24,1.29,1.31,1.28,1.33,1.44,1.52,1.91,1.70,1.45,1.74,1.78,1.69,1.84,1.83,[object Object]
RWA,Rwanda,MtCO2e,0.52,0.47,0.48,0.48,0.46,0.45,0.46,0.48,0.48,0.50,0.52,0.52,0.52,0.51,0.52,0.51,0.51,0.54,0.53,0.56,0.58,0.64,0.72,0.78,0.83,0.97,1.05,1.16,1.29,1.37,1.37,1.55,1.55,[object Object]
SWZ,Eswatini,MtCO2e,0.96,0.87,0.83,0.71,1.08,1.06,0.79,1.14,1.16,1.24,1.21,1.10,1.08,1.00,1.00,1.01,1.01,1.04,1.02,1.06,1.00,1.01,1.17,1.40,0.77,0.87,1.06,0.99,1.03,1.12,1.09,1.13,1.26,[object Object]
SLE,Sierra Leone,MtCO2e,0.50,0.56,0.28,0.26,0.27,0.22,0.23,0.21,0.22,0.18,0.27,0.37,0.50,0.53,0.52,0.43,0.58,0.49,0.51,0.50,0.54,0.71,0.83,1.05,1.13,1.08,1.14,1.09,1.03,1.00,1.03,1.11,1.13,[object Object]
LBR,Liberia,MtCO2e,0.46,0.37,0.39,0.42,0.42,0.42,0.43,0.45,0.47,0.38,0.40,0.42,0.43,0.46,0.55,0.65,0.67,0.63,0.53,0.47,0.76,0.85,0.96,0.87,0.82,0.47,0.50,0.89,0.42,1.02,0.77,0.87,0.88,[object Object]
BDI,Burundi,MtCO2e,0.21,0.24,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.25,0.27,0.21,0.21,0.16,0.20,0.15,0.18,0.20,0.21,0.17,0.30,0.34,0.35,0.36,0.35,0.36,0.43,0.51,0.65,0.69,0.74,0.80,0.80,[object Object]
GMB,Gambia,MtCO2e,0.20,0.20,0.20,0.21,0.21,0.22,0.22,0.22,0.24,0.27,0.27,0.30,0.30,0.30,0.32,0.32,0.35,0.35,0.36,0.37,0.43,0.44,0.45,0.43,0.51,0.58,0.59,0.59,0.65,0.71,0.70,0.76,0.77,[object Object]
ERI,Eritrea,MtCO2e,false,false,false,false,0.74,0.82,0.90,0.81,0.59,0.62,0.60,0.63,0.60,0.71,0.77,0.77,0.55,0.56,0.41,0.50,0.50,0.58,0.61,0.57,0.57,0.55,0.56,0.56,0.62,0.65,0.64,0.70,0.70,[object Object]
SYC,Seychelles,MtCO2e,0.15,0.17,0.17,0.18,0.20,0.20,0.23,0.27,0.29,0.30,0.32,0.34,0.35,0.34,0.37,0.38,0.38,0.40,0.41,0.44,0.44,0.41,0.43,0.41,0.46,0.50,0.55,0.58,0.60,0.59,0.61,0.66,0.66,[object Object]
SOM,Somalia,MtCO2e,0.78,0.70,0.67,0.63,0.62,0.59,0.58,0.53,0.51,0.49,0.48,0.50,0.56,0.56,0.56,0.56,0.56,0.61,0.60,0.60,0.61,0.61,0.61,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.60,0.65,0.65,[object Object]
CPV,Cape Verde,MtCO2e,0.18,0.16,0.18,0.17,0.18,0.20,0.22,0.23,0.24,0.29,0.30,0.35,0.38,0.41,0.43,0.45,0.49,0.51,0.47,0.52,0.56,0.62,0.50,0.49,0.49,0.49,0.49,0.51,0.54,0.56,0.52,0.56,0.57,[object Object]
COM,Comoros,MtCO2e,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.10,0.10,0.11,0.11,0.14,0.15,0.14,0.16,0.11,0.11,0.14,0.16,0.14,0.15,0.18,0.16,0.18,0.22,0.27,0.29,0.31,0.38,0.42,0.41,[object Object]
GNB,Guinea-Bissau,MtCO2e,0.17,0.18,0.18,0.18,0.18,0.18,0.21,0.20,0.17,0.19,0.15,0.15,0.15,0.19,0.20,0.21,0.22,0.23,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.28,0.30,0.30,0.31,0.32,0.30,0.32,0.33,[object Object]
CAF,Central African Republic,MtCO2e,0.18,0.19,0.19,0.20,0.21,0.21,0.21,0.22,0.22,0.23,0.23,0.25,0.24,0.22,0.22,0.22,0.23,0.23,0.16,0.16,0.17,0.19,0.19,0.12,0.12,0.18,0.20,0.22,0.22,0.23,0.24,0.25,0.23,[object Object]
STP,Sao Tome and Principe,MtCO2e,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.10,0.10,0.11,0.11,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.13,[object Object]
Data source,GCP
Data for,Location: Sub-Saharan Africa. Sectors/Subsectors: Total fossil fuels and cement. Gases: CO2. Calculation: Total. Show data by Countries