iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ZAF,South Africa,tCO2e per capita,8.50,8.64,7.79,8.08,8.35,8.73,8.61,8.96,8.64,8.46,8.41,8.15,7.73,8.66,9.50,8.69,9.21,9.47,9.95,9.52,9.04,8.96,8.69,8.54,8.65,8.06,8.13,7.71,7.53,7.95,7.33,7.09,false
NGA,Nigeria,tCO2e per capita,0.41,0.43,0.46,0.44,0.76,0.78,0.88,0.84,0.74,0.71,0.79,0.80,0.70,0.76,0.70,0.73,0.63,0.56,0.58,0.50,0.70,0.77,0.65,0.68,0.70,0.60,0.63,0.59,0.54,0.63,0.60,0.62,false
KEN,Kenya,tCO2e per capita,0.25,0.20,0.22,0.24,0.24,0.27,0.33,0.28,0.33,0.32,0.33,0.28,0.23,0.19,0.21,0.23,0.25,0.25,0.26,0.30,0.29,0.31,0.28,0.30,0.31,0.36,0.37,0.35,0.37,0.38,0.41,0.44,false
SDN,Sudan,tCO2e per capita,0.24,0.21,0.18,0.12,0.16,0.16,0.16,0.20,0.17,0.18,0.19,0.21,0.27,0.29,0.36,0.34,0.36,0.42,0.43,0.44,0.43,0.41,0.42,0.46,0.46,0.54,0.50,0.50,0.52,0.51,0.47,0.49,false
GHA,Ghana,tCO2e per capita,0.24,0.26,0.21,0.24,0.27,0.27,0.28,0.31,0.30,0.30,0.28,0.30,0.32,0.32,0.30,0.28,0.38,0.39,0.35,0.28,0.36,0.41,0.49,0.47,0.49,0.52,0.49,0.43,0.51,0.54,0.62,0.66,false
ETH,Ethiopia,tCO2e per capita,0.06,0.06,0.06,0.06,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.08,0.08,0.07,0.08,0.09,0.10,0.12,0.13,0.14,0.15,0.15,0.15,0.15,0.16,false
AGO,Angola,tCO2e per capita,0.43,0.41,0.41,0.44,0.84,0.90,1.06,1.07,1.08,1.09,0.98,0.94,0.92,0.96,0.91,0.79,0.85,0.84,0.86,0.92,0.98,0.97,1.03,0.99,0.92,0.93,0.83,0.76,0.70,0.60,0.51,0.52,false
TZA,Tanzania,tCO2e per capita,0.08,0.09,0.08,0.09,0.07,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.10,0.10,0.11,0.14,0.15,0.14,0.14,0.13,0.16,0.16,0.19,0.20,0.18,0.19,0.19,0.21,0.21,0.24,0.24,0.25,false
CIV,C̫te d'Ivoire,tCO2e per capita,0.40,0.35,0.30,0.38,0.30,0.44,0.51,0.48,0.43,0.38,0.40,0.45,0.43,0.30,0.41,0.41,0.37,0.35,0.34,0.28,0.30,0.31,0.40,0.44,0.44,0.41,0.50,0.49,0.41,0.41,0.42,0.43,false
SEN,Senegal,tCO2e per capita,0.42,0.44,0.43,0.43,0.45,0.39,0.41,0.35,0.36,0.38,0.40,0.42,0.43,0.47,0.48,0.50,0.39,0.42,0.39,0.43,0.54,0.60,0.55,0.57,0.62,0.68,0.67,0.70,0.71,0.78,0.65,0.67,false
CMR,Cameroon,tCO2e per capita,0.22,0.22,0.22,0.22,0.37,0.40,0.43,0.37,0.36,0.35,0.36,0.35,0.33,0.34,0.33,0.31,0.30,0.40,0.38,0.43,0.41,0.39,0.35,0.36,0.39,0.42,0.42,0.39,0.38,0.37,0.37,0.38,false
ZMB,Zambia,tCO2e per capita,0.30,0.29,0.29,0.28,0.27,0.24,0.20,0.25,0.23,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.20,0.22,0.23,0.24,0.29,0.30,0.32,0.32,0.36,0.41,0.43,0.43,0.44,0.46,false
ZWE,Zimbabwe,tCO2e per capita,1.49,1.45,1.53,1.45,1.54,1.32,1.29,1.19,1.20,1.33,1.16,1.05,1.00,0.89,0.78,0.89,0.85,0.80,0.62,0.66,0.69,0.80,0.86,0.87,0.88,0.89,0.75,0.65,0.74,0.67,0.53,0.56,false
BEN,Benin,tCO2e per capita,0.12,0.12,0.13,0.15,0.16,0.16,0.19,0.19,0.17,0.22,0.21,0.24,0.29,0.32,0.33,0.31,0.41,0.46,0.45,0.47,0.51,0.47,0.45,0.46,0.47,0.50,0.60,0.61,0.65,0.60,0.64,0.67,false
MOZ,Mozambique,tCO2e per capita,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.08,0.10,0.09,0.09,0.09,0.10,0.10,0.11,0.11,0.13,0.12,0.14,0.31,0.25,0.31,0.24,0.24,0.23,0.20,0.22,false
BWA,Botswana,tCO2e per capita,2.10,1.99,2.04,2.28,2.11,2.07,1.83,1.82,2.12,1.96,2.30,2.30,2.33,2.21,2.21,2.27,2.25,2.25,2.35,1.97,2.28,2.00,2.49,2.75,3.28,2.56,2.94,3.21,3.33,2.94,2.36,2.56,false
COG,Republic of Congo,tCO2e per capita,0.43,0.45,0.52,0.45,1.29,1.19,1.45,1.68,1.31,1.29,1.37,1.30,0.82,0.96,1.01,1.20,1.28,1.10,1.06,1.19,1.29,1.15,1.11,1.27,1.15,1.16,1.15,1.11,1.25,1.35,1.34,1.28,false
MLI,Mali,tCO2e per capita,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.09,0.09,0.10,0.10,0.10,0.10,0.11,0.11,0.12,0.13,0.14,0.13,0.14,0.15,0.15,0.17,0.19,0.19,0.24,0.25,0.26,0.30,0.32,0.33,false
UGA,Uganda,tCO2e per capita,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.09,0.09,0.10,0.11,0.11,0.10,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.12,0.13,false
BFA,Burkina Faso,tCO2e per capita,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.10,0.11,0.12,0.12,0.13,0.13,0.16,0.17,0.17,0.21,0.21,0.24,0.25,0.27,0.25,0.27,false
GAB,Gabon,tCO2e per capita,4.72,4.63,4.90,4.83,4.30,4.81,5.29,4.84,5.52,5.02,4.99,5.15,4.85,5.11,4.72,4.48,3.88,3.42,3.54,3.38,3.59,3.46,3.22,3.26,3.38,3.32,3.25,2.85,2.58,2.50,2.66,2.58,false
GNQ,Equatorial Guinea,tCO2e per capita,0.15,0.15,0.15,0.15,2.41,2.47,2.63,3.68,4.12,4.32,4.45,4.90,4.19,4.56,8.56,8.28,7.88,6.97,6.90,5.44,6.78,6.18,6.69,7.61,6.84,6.02,6.22,6.23,4.59,3.42,3.94,3.88,false
GIN,Guinea,tCO2e per capita,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.19,0.20,0.20,0.20,0.21,0.21,0.21,0.24,0.25,0.23,0.19,0.19,0.21,0.23,0.27,0.25,0.31,0.34,0.36,false
MRT,Mauritania,tCO2e per capita,0.42,0.42,0.42,0.42,0.42,0.44,0.45,0.44,0.43,0.43,0.42,0.43,0.45,0.45,0.47,0.48,0.50,0.55,0.56,0.59,0.60,0.62,0.66,0.57,0.65,0.74,0.63,0.80,0.83,0.83,0.89,0.93,false
MDG,Madagascar,tCO2e per capita,0.08,0.09,0.08,0.08,0.09,0.09,0.09,0.11,0.11,0.12,0.12,0.11,0.07,0.10,0.10,0.09,0.09,0.09,0.09,0.08,0.09,0.11,0.12,0.14,0.13,0.13,0.13,0.16,0.14,0.16,0.14,0.15,false
MUS,Mauritius,tCO2e per capita,1.38,1.42,1.57,1.62,1.46,1.63,1.72,1.74,1.87,2.06,2.27,2.39,2.39,2.52,2.53,2.68,2.94,2.97,3.03,2.97,3.13,3.13,3.16,3.23,3.34,3.33,3.44,3.59,3.52,3.57,3.01,3.23,false
NAM,Namibia,tCO2e per capita,false,0.71,0.76,0.89,0.99,0.99,1.04,1.04,1.05,0.94,0.89,1.10,0.97,1.00,1.03,1.19,1.19,1.13,1.32,1.33,1.34,1.29,1.53,1.15,1.62,1.66,1.72,1.75,1.70,1.65,1.45,1.44,false
COD,Democratic Republic of the Congo,tCO2e per capita,0.12,0.09,0.08,0.07,0.07,0.07,0.08,0.07,0.06,0.05,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.07,0.04,0.03,0.04,0.04,0.04,0.04,0.04,false
LSO,Lesotho,tCO2e per capita,0.86,0.88,0.89,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.91,0.92,0.94,0.96,0.99,1.01,1.02,1.04,1.07,1.11,1.14,1.53,1.53,1.15,1.21,1.09,1.07,1.20,1.12,1.12,1.01,1.15,false
NER,Niger,tCO2e per capita,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.07,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.06,0.07,0.08,0.10,0.11,0.12,0.11,0.10,0.10,0.08,0.11,0.12,0.12,false
TGO,Togo,tCO2e per capita,0.26,0.27,0.26,0.27,0.24,0.28,0.29,0.20,0.28,0.39,0.27,0.23,0.25,0.34,0.32,0.31,0.26,0.26,0.25,0.44,0.40,0.38,0.33,0.24,0.22,0.25,0.31,0.26,0.27,0.30,0.29,0.30,false
TCD,Chad,tCO2e per capita,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.09,0.09,0.09,0.10,0.08,0.11,0.10,0.10,0.14,0.16,0.16,0.17,0.16,0.16,0.15,0.14,0.14,0.15,false
MWI,Malawi,tCO2e per capita,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.09,0.09,0.10,0.11,false
SSD,South Sudan,tCO2e per capita,0.08,0.07,0.07,0.05,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.08,0.10,0.11,0.13,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.18,0.16,0.13,0.16,0.16,0.15,0.16,false
RWA,Rwanda,tCO2e per capita,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.09,0.09,0.10,0.10,0.11,0.11,0.12,false
SWZ,Eswatini,tCO2e per capita,1.17,1.03,0.96,0.80,1.19,1.15,0.83,1.19,1.19,1.25,1.20,1.08,1.06,0.98,0.97,0.98,0.98,1.00,0.97,1.00,0.94,0.94,1.08,1.29,0.70,0.79,0.95,0.88,0.91,0.98,0.94,0.97,false
SLE,Sierra Leone,tCO2e per capita,0.12,0.13,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.06,0.08,0.10,0.10,0.10,0.08,0.10,0.08,0.08,0.08,0.08,0.11,0.12,0.15,0.16,0.15,0.16,0.15,0.13,0.13,0.13,0.14,false
LBR,Liberia,tCO2e per capita,0.22,0.18,0.20,0.21,0.21,0.20,0.20,0.19,0.19,0.14,0.14,0.14,0.14,0.15,0.17,0.20,0.20,0.18,0.15,0.13,0.19,0.21,0.23,0.21,0.19,0.10,0.11,0.19,0.09,0.21,0.15,0.17,false
BDI,Burundi,tCO2e per capita,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.05,0.06,0.06,0.06,0.07,false
GMB,Gambia,tCO2e per capita,0.21,0.20,0.19,0.20,0.19,0.19,0.19,0.19,0.20,0.22,0.21,0.22,0.21,0.20,0.21,0.21,0.22,0.21,0.21,0.21,0.24,0.24,0.23,0.22,0.25,0.28,0.27,0.27,0.28,0.30,0.29,0.30,false
ERI,Eritrea,tCO2e per capita,false,false,false,false,0.34,0.37,0.41,0.37,0.27,0.28,0.26,0.26,0.24,0.27,0.28,0.27,0.19,0.19,0.13,0.16,0.16,0.18,false,false,false,false,false,false,false,false,false,false,false
SYC,Seychelles,tCO2e per capita,2.16,2.44,2.43,2.54,2.72,2.63,3.07,3.55,3.67,3.78,3.88,4.24,4.16,4.12,4.49,4.60,4.55,4.74,4.76,5.04,4.94,4.65,4.81,4.60,5.01,5.33,5.84,6.00,6.21,6.08,6.18,6.68,false
SOM,Somalia,tCO2e per capita,0.11,0.10,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,false
CPV,Cape Verde,tCO2e per capita,0.53,0.48,0.50,0.47,0.47,0.51,0.55,0.56,0.59,0.69,0.69,0.80,0.86,0.92,0.93,0.97,1.05,1.06,0.98,1.07,1.13,1.23,0.99,0.97,0.94,0.94,0.93,0.95,0.99,1.02,0.93,0.99,false
COM,Comoros,tCO2e per capita,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.18,0.18,0.19,0.19,0.19,0.23,0.25,0.23,0.26,0.17,0.17,0.20,0.23,0.20,0.21,0.25,0.21,0.23,0.27,0.33,0.35,0.37,0.44,0.47,false
GNB,Guinea-Bissau,tCO2e per capita,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.15,0.16,0.12,0.12,0.12,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.17,0.17,0.17,0.17,0.15,0.16,false
CAF,Central African Republic,tCO2e per capita,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,false
STP,Sao Tome and Principe,tCO2e per capita,0.40,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.35,0.40,0.44,0.48,0.49,0.52,0.51,0.49,0.52,0.57,0.54,0.58,0.57,0.66,0.68,0.74,0.67,0.66,0.66,0.64,0.65,false
Data source,GCP
Data for,Location: Sub-Saharan Africa. Sectors/Subsectors: Total fossil fuels and cement. Gases: CO2. Calculation: per Capita. Show data by Countries